axis,left_entry,right_entry,left_value,right_value,fixed_coordinate_1,fixed_coordinate_2,delta_ms,Delta_ms,b_s_mm2,correlation
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,1500.0,0.8913169695516119
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,2000.0,0.8601701898775276
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,2500.0,0.8606309882478463
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,3000.0,0.8590741175765166
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,3500.0,0.84944120294838
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,4000.0,0.8413618060877746
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,4500.0,0.8503939115815602
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,5000.0,0.8605349917957719
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,5500.0,0.8688412994636432
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,6000.0,0.8775176272283322
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,6500.0,0.8841798023118037
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,7000.0,0.8807356063142393
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,7500.0,0.850790046911277
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,8000.0,0.7788712082777567
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,8500.0,0.6768862206795233
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,9000.0,0.5809387057831437
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,9500.0,0.5151988331803438
