configuration,n_ensembles,n_walkers,axis_walks,delta_ms,Delta_ms,b_s_mm2,n_cellular_entries,se_min,se_q05,se_q25,se_median,se_q75,se_q95,se_max,se_mean
"20 x 200,000",20,200000,12000000,12.0,36.0,5000.0,24,0.00013277003366675557,0.0001434657080806176,0.00017735480701164594,0.00021474634709735485,0.00027486737136244674,0.0009488887831733282,0.002296771187447412,0.00034630498178848967
"20 x 200,000",20,200000,12000000,12.0,36.0,5500.0,24,0.00012169690048661834,0.00013374909633630098,0.00017616822300456578,0.00021317096259776018,0.00027088887555749613,0.0012200992131513584,0.002814861699619335,0.00038935459446115664
"20 x 200,000",20,200000,12000000,12.0,36.0,6000.0,24,0.00011811543480807609,0.0001221875286123353,0.0001821920708657586,0.00020791756174912758,0.00025426052852836503,0.001488366074157563,0.002931237530268749,0.00038625063663028986
"20 x 200,000",20,200000,12000000,12.0,36.0,6500.0,24,0.00010571806632888433,0.000126275748911846,0.00017018410391758876,0.0002082085094455984,0.00024178260097415297,0.0023077913079622573,0.002775579313384779,0.0004235716745363463
"20 x 200,000",20,200000,12000000,12.0,36.0,7000.0,24,0.00010204525526499256,0.00012429008613753213,0.00015708436001840822,0.00020846727400529387,0.00023885580921642716,0.0021585532893592455,0.0029935728080287176,0.00040608938904911047
"20 x 200,000",20,200000,12000000,12.0,36.0,7500.0,24,0.00011105157148730895,0.00012778279757412922,0.00015132527681902116,0.00020635134388968075,0.00022876999656516676,0.0019533640081579595,0.003113660714166919,0.00039796790968237337
"20 x 200,000",20,200000,12000000,12.0,36.0,8000.0,24,0.000128757962274635,0.00013617030290950325,0.0001565203752311408,0.00019663496151596315,0.00022834994640153524,0.0019432023628937606,0.003038121967997142,0.0003945547949588844
"20 x 200,000",20,200000,12000000,12.0,36.0,8500.0,24,0.00012996925259754606,0.00014921768670282827,0.00016291889555682606,0.00018695359918728628,0.00023916002491621596,0.0021860918240972907,0.0028006053776900653,0.00039981155544286
"20 x 200,000",20,200000,12000000,12.0,36.0,9000.0,24,0.00012967501775580761,0.00015203234309067926,0.0001738892595526362,0.00019352791616925082,0.000247718802024843,0.0020721627350838044,0.003024246881727875,0.00040858598574577384
"20 x 200,000",20,200000,12000000,12.0,36.0,9500.0,24,0.00013322593348260724,0.0001513947516107742,0.00017947147626792907,0.00020852658006162623,0.0002475730574043352,0.0015176723881441386,0.0036138769447455936,0.0004112465182110416
"20 x 200,000",20,200000,12000000,12.0,36.0,10000.0,24,0.00013882792785707815,0.00015489400707535794,0.00018129757486065053,0.00021332712351779031,0.0002458289589780368,0.00028673753285891483,0.004214729329404231,0.00038043864526067435
"20 x 200,000",20,200000,12000000,12.0,36.0,10500.0,24,0.00013672488743766425,0.00014800261292505402,0.00018438098020807936,0.0002241572461351805,0.00025377621777154525,0.0008933038188157506,0.004782094039077873,0.00043616013723950855
"20 x 200,000",20,200000,12000000,12.0,36.0,11000.0,24,0.00011632961736583889,0.00015456151011034082,0.00018880084098392088,0.0002270846804706615,0.00025445548395686655,0.0014949865996912756,0.00529184463676817,0.00048766262109497534
"20 x 200,000",20,200000,12000000,12.0,36.0,11500.0,24,9.572111174826575e-05,0.00015840543035425088,0.00018480809261325226,0.0002271966226914915,0.000252350925253137,0.0017469468905962112,0.005731374752353262,0.0005182830421545545
"20 x 200,000",20,200000,12000000,12.0,36.0,12000.0,24,7.85365944943889e-05,0.00015625207839005978,0.0001897388231585709,0.00022286518030799929,0.000254637932159278,0.0018750723506827365,0.00609480246615962,0.0005576758723067706
"20 x 200,000",20,200000,12000000,15.0,40.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"20 x 200,000",20,200000,12000000,15.0,40.0,500.0,24,0.00011756566542450859,0.00012684749467446228,0.00015523246256540717,0.00017595759398418253,0.00019736532367859276,0.00022797937125684488,0.0002428677296760209,0.00017813265422438239
"20 x 200,000",20,200000,12000000,15.0,40.0,1000.0,24,0.00016491783362116775,0.0001772696926430588,0.00019199931305541345,0.00021074446261643576,0.0002661211941015039,0.001497485584732515,0.0019805741042267827,0.0004526791611596489
"20 x 200,000",20,200000,12000000,15.0,40.0,1500.0,24,0.00017388767122626742,0.00018031267779032223,0.00021542280612543002,0.0002394713614702462,0.00027189956246567975,0.0014806946249819714,0.0031896442166576646,0.0004885907355227576
"20 x 200,000",20,200000,12000000,15.0,40.0,2000.0,24,0.0001422256528578546,0.00017404563388888648,0.00020459930758141045,0.0002504797471770372,0.0002778626821753963,0.0024595528863485963,0.003846092520805044,0.0004921934852149442
"20 x 200,000",20,200000,12000000,15.0,40.0,2500.0,24,0.00011020929736645389,0.00013856479016980587,0.00019644350835149813,0.00023723339655397265,0.0002794484638461592,0.0033049173055884557,0.004179129413084592,0.0006536138493614521
"20 x 200,000",20,200000,12000000,15.0,40.0,3000.0,24,9.027938855346068e-05,9.820670849969339e-05,0.00019600543510768728,0.00023806797714829412,0.00027031109254320885,0.0035984592279783272,0.004357089855235319,0.0006536076271840679
