axis,left_entry,right_entry,left_value,right_value,fixed_coordinate_1,fixed_coordinate_2,delta_ms,Delta_ms,b_s_mm2,correlation
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,1500.0,0.8060235737802478
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,2000.0,0.7014249180752167
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,2500.0,0.5694837707770737
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,3000.0,0.4493737226075347
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,3500.0,0.36791039943087944
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,4000.0,0.3353059785838891
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,4500.0,0.336793775435917
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,5000.0,0.3421963013889823
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,5500.0,0.3345310367600656
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,6000.0,0.31601774339544764
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,6500.0,0.29613808041931705
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,7000.0,0.28173711298135984
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,7500.0,0.2733860923226143
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,8000.0,0.26825028739589757
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,8500.0,0.26558054277453186
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,9000.0,0.2683883772471036
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,9500.0,0.2799929029597516
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,10000.0,0.3001250864563818
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,10500.0,0.32481722517175277
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,11000.0,0.3493085827135017
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,11500.0,0.37063242079119707
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,12000.0,0.38815070117829104
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,0.0,
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,500.0,0.6823719673435548
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,1000.0,0.7483498914285733
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,1500.0,0.7378749675721633
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,2000.0,0.7172881228606172
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,2500.0,0.6911633496738915
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,3000.0,0.6578632018470811
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,3500.0,0.6079041514251923
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,4000.0,0.5408194101518319
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,4500.0,0.4741946931632801
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,5000.0,0.4259442690653939
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,5500.0,0.4000566770941048
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,6000.0,0.3884973599283018
