axis,stencil_width_k,stencil_row,left_entry,center_entry,right_entry,context_1,context_2,delta_ms,Delta_ms,b_s_mm2,derivative,variance_derivative,covariance_of_entry_means,beta
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,12000.0,0.0020243760070233234,1.0638407461522939e-06,1.2729232903078552e-08,0.259593765109994
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,0.0,0.0,0.0,0.0,
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,500.0,0.21876333371422485,1.4423088617460094e-06,2.4892868576858594e-08,3.013763758455858e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,1000.0,0.20164909221427307,1.7279662080413617e-06,4.8700294912550026e-08,4.24954764409719e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,1500.0,0.14998005658220193,1.8534566486783419e-06,5.080040467199649e-08,8.239776016855396e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,2000.0,0.1065413901990324,1.8337054844846508e-06,4.4061349364440315e-08,0.00016154475619979976
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,2500.0,0.07596470651347437,1.6446830837967737e-06,3.792096894111116e-08,0.0002850089492081585
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,3000.0,0.055371296748316125,1.4385808728833547e-06,3.38467499746488e-08,0.00046920744316503665
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,3500.0,0.041504472379328014,1.3200888726960637e-06,3.109720384322745e-08,0.0007663256737073294
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,4000.0,0.03198740652122854,1.3016987561067555e-06,2.907840181764159e-08,0.0012721913266293366
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,4500.0,0.025267240657188262,1.3314714806021201e-06,2.7444555579130666e-08,0.002085529008088401
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,5000.0,0.020369041046785948,1.3381081208165958e-06,2.595603600970603e-08,0.0032251509018663567
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,5500.0,0.016691471891323778,1.2831404589353078e-06,2.444736279472137e-08,0.00460558633798371
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,6000.0,0.013864864105689755,1.1848961959431516e-06,2.2766200844249383e-08,0.0061638075528877056
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,6500.0,0.01165748776156126,1.0979005836083052e-06,2.070603235113461e-08,0.008078915757305145
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,7000.0,0.009916643280296157,1.0714147200569141e-06,1.8046694154629942e-08,0.010895024883984942
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,7500.0,0.00853413921784461,1.1209976049471107e-06,1.4680688779676967e-08,0.015391652094172214
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,8000.0,0.007427522363905181,1.2270979964174661e-06,1.0707241682484722e-08,0.02224289495125055
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,8500.0,0.006530503178979508,1.3523121556624417e-06,6.432725395504163e-09,0.03170908144179228
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,9000.0,0.005788422174231976,1.461305987454465e-06,2.298804692549799e-09,0.043613482554828754
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,9500.0,0.005156514392605741,1.5326074336996546e-06,-1.2202287667331973e-09,0.05763926831798618
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,10000.0,0.004599720995907668,1.5602358696669509e-06,-3.7217804891562727e-09,0.07374409986098376
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,10500.0,0.00409309776642527,1.5490288711496035e-06,-4.958327515224682e-09,0.09246029525337388
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,11000.0,0.0036219679423987266,1.5087827115178843e-06,-4.879823186263199e-09,0.1150105008736699
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,11500.0,0.0031811932683193304,1.450286297760449e-06,-3.6258980198013757e-09,0.14330905566947888
rho,1,0,15,18,21,19.0,6.2962652107424715,15.0,40.0,12000.0,0.0027733364786472173,1.3836041287733772e-06,-1.4760243813589818e-09,0.17988987544065282
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,0.0,0.0,0.0,0.0,
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,500.0,0.23612289306159898,1.5521676253801064e-06,1.1306694889302896e-08,2.783956399741228e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,1000.0,0.22548497280571492,2.211163789989284e-06,2.772242589761557e-08,4.348962927211803e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,1500.0,0.17462697912133446,2.433954020810105e-06,3.4543343386069703e-08,7.981595005357588e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,2000.0,0.12947292859194182,2.3304985959465094e-06,3.523184332195454e-08,0.00013902435936363568
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,2500.0,0.09623892527461352,1.981003102774759e-06,3.523647328469073e-08,0.00021388662459376453
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,3000.0,0.07280972603204147,1.5913687764158542e-06,3.520643521033558e-08,0.000300187109416946
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,3500.0,0.05627190553642047,1.2923995848048478e-06,3.4018287878296857e-08,0.00040814414052129646
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,4000.0,0.044386305541639776,1.1083903808729916e-06,3.130178875963891e-08,0.0005625935533477049
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,4500.0,0.03564180987049296,1.0279975235452685e-06,2.737315692735049e-08,0.0008092311095401394
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,5000.0,0.029056525158861736,1.0302765878476684e-06,2.2879643503813972e-08,0.001220299627015639
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,5500.0,0.023992603262686707,1.0745114802679254e-06,1.8660747387755113e-08,0.0018666217184835955
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,6000.0,0.020026827332291556,1.1109159252389644e-06,1.5384522421384715e-08,0.002769854049898068
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,6500.0,0.016869287832505298,1.110074157884981e-06,1.3195133877662192e-08,0.0039008432187413403
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,7000.0,0.014315009786452617,1.0764514897935598e-06,1.1757348462356158e-08,0.005253045525438211
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,7500.0,0.012215415734629313,1.0351670876699512e-06,1.0601428534966294e-08,0.006937355515389708
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,8000.0,0.010460667504530202,1.009787332211674e-06,9.418753830620252e-09,0.009228075135190736
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,8500.0,0.008968049800596482,1.010129120864502e-06,8.123835036362382e-09,0.012559746356715685
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,9000.0,0.007674391511933652,1.0338469479117381e-06,6.751169229512492e-09,0.017553686901216937
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,9500.0,0.0065316679979416795,1.074336739156632e-06,5.347138519600646e-09,0.02518211624371511
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,10000.0,0.005504891165379846,1.1267665340709967e-06,3.948222442222422e-09,0.03718231837974984
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,10500.0,0.004571057550646143,1.1890908407386009e-06,2.6253799169316955e-09,0.056909091883327816
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,11000.0,0.0037179370620653153,1.259635471630814e-06,1.520599264407552e-09,0.09112568681343358
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,11500.0,0.002941983470861814,1.3345101768300965e-06,8.261226050408505e-10,0.15418475437935023
rho,1,0,15,18,21,19.0,6.2962652107424715,20.0,50.0,12000.0,0.0022453677036192513,1.4070713707401337e-06,7.147909433529825e-10,0.2790880127969047
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,0.0,0.0,0.0,0.0,
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,500.0,0.24649735441520504,1.413139761107586e-06,8.490031744899328e-09,2.32573694178681e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,1000.0,0.23946035799870993,1.7887711924517e-06,2.5804570686613e-08,3.119518296627684e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,1500.0,0.18927089009651338,1.8098777618490298e-06,3.7565253803123187e-08,5.0522123346435444e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,2000.0,0.1436764532374956,1.6905404213687418e-06,4.2200482392038786e-08,8.189442957129261e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,2500.0,0.1095418676407341,1.4197530498183992e-06,4.2873241029602687e-08,0.0001183184653225249
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,3000.0,0.08510642233468507,1.1151697088330604e-06,4.190897277344642e-08,0.00015396297553074885
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,3500.0,0.06767583603298578,9.222735576363156e-07,3.9627746334190014e-08,0.0002013689465875546
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,4000.0,0.05508803843895875,9.139762263462769e-07,3.54607223671727e-08,0.00030117594558368735
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,4500.0,0.04580301450993305,1.06058817185977e-06,2.956289815810823e-08,0.0005055436452151017
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,5000.0,0.03876616702325432,1.2737261293692867e-06,2.3114494433268066e-08,0.0008475597670156837
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,5500.0,0.03327318475120347,1.4713465113075577e-06,1.755457995373983e-08,0.0013290037944847586
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,6000.0,0.028865557277630717,1.6085505672312615e-06,1.380673628678646e-08,0.0019305223121311825
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,6500.0,0.02525175866037601,1.672275017040503e-06,1.2062843838245003e-08,0.002622554014307431
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,7000.0,0.02224748024663729,1.667394396906787e-06,1.2002547914719697e-08,0.003368811245119129
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,7500.0,0.019731565443830167,1.6088735981462255e-06,1.3092061445042662e-08,0.004132366578208315
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,8000.0,0.017616371714633722,1.517718148415839e-06,1.4764423410010078e-08,0.004890555549246368
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,8500.0,0.01583104309497104,1.4166604298615613e-06,1.6488349812394578e-08,0.005652579785976607
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,9000.0,0.014314683937724434,1.3257100575272683e-06,1.7801161624407923e-08,0.0064697131292996216
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,9500.0,0.013015310419949817,1.2591231092807605e-06,1.83466565626481e-08,0.007432914437044305
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,10000.0,0.011890640344288935,1.224355416431226e-06,1.7913527300362193e-08,0.008659583822017735
rho,1,0,15,18,21,19.0,6.2962652107424715,25.0,60.0,10500.0,0.010908126179345912,1.2226650018504115e-06,1.645606198573346e-08,0.010275599642569185
