delta_ms,Delta_ms,b_s_mm2,n,min,q05,q25,median,q75,q95,max,mean
7.0,25.0,9500.0,39,0.00014519584295976615,0.00015960996135569536,0.00018520755287858482,0.00021234909721804793,0.00022546628581664315,0.0002445869486106585,0.0002500243928475874,0.00020596898099584925
7.0,25.0,10000.0,39,0.00014765136233287467,0.0001597142513230936,0.00018550892051654442,0.00021676542047813425,0.0002268368357928989,0.00024000045340420213,0.0002435828007147447,0.00020648212813185595
7.0,25.0,10500.0,39,0.0001545122090927401,0.00015708004351379997,0.0001881983000729725,0.0002177104147424349,0.00022932845186265853,0.000237497024545268,0.00023893680280640813,0.00020673227277516812
7.0,25.0,11000.0,39,0.00014776782220097629,0.0001531170639971045,0.00019316826122239375,0.00021441159252398215,0.00022853315032209605,0.00023929355386046293,0.0002429833448061419,0.00020646197439959518
7.0,25.0,11500.0,39,0.00014494098617181224,0.0001517405197284016,0.00019160442092339158,0.00021200600472767695,0.00022896632109050143,0.00024124151973277895,0.0002457868568344959,0.00020551121351699745
7.0,25.0,12000.0,39,0.0001461976962924227,0.0001542857281482277,0.00018223273744393353,0.0002064184286742197,0.0002277050736176484,0.00024071499965322267,0.00024681370674996104,0.00020379796385921545
10.0,30.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,30.0,500.0,39,0.00020016019282288183,0.00020267446872522258,0.0002332771977891921,0.00026038236505833694,0.000359905564381814,0.00046034821226659885,0.0004741404572831166,0.00030204972089555607
10.0,30.0,1000.0,39,0.00025491579123571864,0.0002568371639446548,0.00027170195151208614,0.000323331231006924,0.0004232776349718893,0.0005287174780264092,0.0005403615162624563,0.0003625006917662746
10.0,30.0,1500.0,39,0.0002532198372357371,0.0002552724470823386,0.00028492683811920204,0.000335099802275985,0.00039485775120676555,0.00048077648255192624,0.0005076567254813496,0.0003511719474168423
